codigo_localidad,anio,casos,sexo,mes,dia_semana,rango_hora,tipo_accidente,circunstancia,condicion_victima,medio_transporte,localidad,ciclo_vital
0,2015,1,Hombre,agosto,viernes,03:00 a 05:59,Sin información,Desobedecer señales de tránsito,Conductor,Bicicleta,Sin localidad específica,(29 a 59) Adultez
0,2015,1,Mujer,diciembre,jueves,21:00 a 23:59,Choque con otro vehículo,Exceso de velocidad,Conductor,Bicicleta,Sin localidad específica,(29 a 59) Adultez
6,2015,1,Hombre,julio,viernes,06:00 a 08:59,Choque con otro vehículo,Sin información,Conductor,Bicicleta,Tunjuelito,(Más de 60) Adulto Mayor
15,2015,1,Hombre,septiembre,martes,06:00 a 08:59,Choque con otro vehículo,Otras circunstancias no especificadas,Conductor,Bicicleta,Antonio Nariño,(29 a 59) Adultez
0,2015,1,Hombre,febrero,viernes,09:00 a 11:59,Sin información,Exceso de velocidad,Conductor,Bicicleta,Sin localidad específica,(Más de 60) Adulto Mayor
6,2015,1,Hombre,agosto,viernes,03:00 a 05:59,Choque con otro vehículo,Sin información,Conductor,Bicicleta,Tunjuelito,(29 a 59) Adultez
7,2015,1,Hombre,junio,martes,12:00 a 14:59,Choque con otro vehículo,Otras circunstancias no especificadas,Conductor,Bicicleta,Bosa,(18 a 28) Juventud
11,2015,1,Hombre,abril,miércoles,21:00 a 23:59,Choque con otro vehículo,Sin información,Conductor,Bicicleta,Suba,(29 a 59) Adultez
21,2015,1,Hombre,febrero,lunes,Sin información,Choque con otro vehículo,Sin información,Conductor,Bicicleta,Sin dato,(12 a 17) Adolescencia
1,2015,1,Hombre,noviembre,martes,18:00 a 20:59,Choque con otro vehículo,Desobedecer señales de tránsito,Conductor,Bicicleta,Usaquén,(Más de 60) Adulto Mayor
21,2015,1,Hombre,agosto,sábado,Sin información,Choque con otro vehículo,Otras circunstancias no especificadas,Conductor,Bicicleta,Sin dato,(18 a 28) Juventud
8,2015,1,Hombre,septiembre,sábado,12:00 a 14:59,Choque con otro vehículo,Sin información,Conductor,Bicicleta,Kennedy,(18 a 28) Juventud
0,2015,1,Hombre,diciembre,jueves,15:00 a 17:59,Choque con otro vehículo,Desobedecer señales de tránsito,Conductor,Bicicleta,Sin localidad específica,(29 a 59) Adultez
7,2015,1,Hombre,diciembre,jueves,18:00 a 20:59,Caída del vehículo a un precipicio,Sin información,Conductor,Bicicleta,Bosa,(Más de 60) Adulto Mayor
7,2015,1,Hombre,septiembre,miércoles,06:00 a 08:59,Choque con otro vehículo,Exceso de velocidad,Conductor,Bicicleta,Bosa,(29 a 59) Adultez
0,2015,1,Hombre,noviembre,lunes,03:00 a 05:59,Volcamiento,Posibles fallas mecánicas,Conductor,Bicicleta,Sin localidad específica,(29 a 59) Adultez
0,2015,1,Hombre,noviembre,lunes,15:00 a 17:59,Choque con otro vehículo,Exceso de velocidad,Conductor,Bicicleta,Sin localidad específica,(18 a 28) Juventud
10,2015,1,Hombre,agosto,domingo,Sin información,Sin información,Sin información,Conductor,Bicicleta,Engativá,(Más de 60) Adulto Mayor
0,2015,1,Hombre,agosto,miércoles,06:00 a 08:59,Choque con otro vehículo,Exceso de velocidad,Conductor,Bicicleta,Sin localidad específica,(18 a 28) Juventud
16,2015,1,Hombre,febrero,sábado,15:00 a 17:59,Choque con otro vehículo,Sin información,Conductor,Bicicleta,Puente Aranda,(18 a 28) Juventud
14,2015,1,Hombre,febrero,viernes,09:00 a 11:59,Sin información,Exceso de velocidad,Conductor,Bicicleta,Los Mártires,(Más de 60) Adulto Mayor
11,2015,1,Hombre,octubre,jueves,12:00 a 14:59,Choque con otro vehículo,Desobedecer señales de tránsito,Conductor,Bicicleta,Suba,(29 a 59) Adultez
0,2015,1,Hombre,agosto,viernes,03:00 a 05:59,Choque con otro vehículo,Sin información,Conductor,Bicicleta,Sin localidad específica,(29 a 59) Adultez
0,2015,1,Hombre,diciembre,lunes,03:00 a 05:59,Choque con otro vehículo,Desobedecer señales de tránsito,Conductor,Bicicleta,Sin localidad específica,(29 a 59) Adultez
1,2015,1,Hombre,septiembre,viernes,06:00 a 08:59,Choque con otro vehículo,Otras circunstancias no especificadas,Conductor,Bicicleta,Usaquén,(29 a 59) Adultez
0,2015,1,Hombre,abril,jueves,06:00 a 08:59,Choque con otro vehículo,Desobedecer señales de tránsito,Conductor,Bicicleta,Sin localidad específica,(29 a 59) Adultez
4,2015,1,Hombre,enero,miércoles,12:00 a 14:59,Choque con otro vehículo,Sin información,Conductor,Bicicleta,San Cristóbal,(18 a 28) Juventud
0,2015,1,Hombre,enero,miércoles,12:00 a 14:59,Choque con otro vehículo,Sin información,Conductor,Bicicleta,Sin localidad específica,(18 a 28) Juventud
0,2015,1,Hombre,diciembre,sábado,18:00 a 20:59,Choque con otro vehículo,Desobedecer señales de tránsito,Conductor,Bicicleta,Sin localidad específica,(29 a 59) Adultez
0,2015,1,Hombre,agosto,sábado,Sin información,Choque con otro vehículo,Otras circunstancias no especificadas,Conductor,Bicicleta,Sin localidad específica,(18 a 28) Juventud
0,2015,1,Hombre,mayo,jueves,15:00 a 17:59,Sin información,Otras circunstancias no especificadas,Conductor,Bicicleta,Sin localidad específica,(29 a 59) Adultez
14,2015,1,Hombre,noviembre,sábado,18:00 a 20:59,Choque con otro vehículo,Sin información,Conductor,Bicicleta,Los Mártires,(29 a 59) Adultez
6,2015,1,Hombre,agosto,martes,12:00 a 14:59,Choque con otro vehículo,Otras circunstancias no especificadas,Conductor,Bicicleta,Tunjuelito,(Más de 60) Adulto Mayor
0,2015,1,Hombre,octubre,miércoles,15:00 a 17:59,Choque con otro vehículo,Desobedecer señales de tránsito,Conductor,Bicicleta,Sin localidad específica,(29 a 59) Adultez
0,2015,1,Hombre,enero,viernes,Sin información,Choque con otro vehículo,Contravía,Conductor,Bicicleta,Sin localidad específica,(Más de 60) Adulto Mayor
0,2015,1,Hombre,marzo,miércoles,18:00 a 20:59,Choque con otro vehículo,Sin información,Conductor,Bicicleta,Sin localidad específica,(Más de 60) Adulto Mayor
5,2015,1,Hombre,marzo,viernes,15:00 a 17:59,Choque con otro vehículo,Otras circunstancias no especificadas,Conductor,Bicicleta,Usme,(12 a 17) Adolescencia
0,2015,1,Hombre,septiembre,martes,03:00 a 05:59,Choque con otro vehículo,Otras circunstancias no especificadas,Conductor,Bicicleta,Sin localidad específica,(29 a 59) Adultez
0,2015,1,Mujer,diciembre,viernes,03:00 a 05:59,Choque con otro vehículo,Sin información,Conductor,Bicicleta,Sin localidad específica,(29 a 59) Adultez
10,2015,1,Hombre,octubre,miércoles,15:00 a 17:59,Choque con otro vehículo,Desobedecer señales de tránsito,Conductor,Bicicleta,Engativá,(29 a 59) Adultez
11,2015,1,Hombre,octubre,lunes,09:00 a 11:59,Choque con otro vehículo,Exceso de velocidad,Conductor,Bicicleta,Suba,(Más de 60) Adulto Mayor
0,2015,1,Hombre,septiembre,miércoles,06:00 a 08:59,Choque con otro vehículo,Exceso de velocidad,Conductor,Bicicleta,Sin localidad específica,(29 a 59) Adultez
0,2015,1,Hombre,septiembre,martes,06:00 a 08:59,Choque con otro vehículo,Otras circunstancias no especificadas,Conductor,Bicicleta,Sin localidad específica,(29 a 59) Adultez
18,2015,1,Hombre,abril,domingo,15:00 a 17:59,Choque con objeto fijo o en movimiento,Sin información,Conductor,Bicicleta,Rafael Uribe Uribe,(18 a 28) Juventud
6,2015,1,Hombre,mayo,viernes,Sin información,Choque con otro vehículo,Exceso de velocidad,Conductor,Bicicleta,Tunjuelito,(18 a 28) Juventud
0,2015,1,Hombre,septiembre,sábado,12:00 a 14:59,Choque con otro vehículo,Sin información,Conductor,Bicicleta,Sin localidad específica,(18 a 28) Juventud
11,2015,1,Hombre,abril,jueves,06:00 a 08:59,Choque con otro vehículo,Otras circunstancias no especificadas,Conductor,Bicicleta,Suba,(29 a 59) Adultez
9,2015,1,Hombre,noviembre,lunes,15:00 a 17:59,Choque con otro vehículo,Exceso de velocidad,Conductor,Bicicleta,Fontibón,(18 a 28) Juventud
0,2015,1,Hombre,octubre,jueves,12:00 a 14:59,Choque con otro vehículo,Desobedecer señales de tránsito,Conductor,Bicicleta,Sin localidad específica,(29 a 59) Adultez
10,2015,1,Hombre,diciembre,domingo,06:00 a 08:59,Choque con otro vehículo,Desobedecer señales de tránsito,Conductor,Bicicleta,Engativá,(18 a 28) Juventud
21,2015,1,Hombre,octubre,jueves,15:00 a 17:59,Choque con otro vehículo,Otras circunstancias no especificadas,Conductor,Bicicleta,Sin dato,(29 a 59) Adultez
10,2015,1,Hombre,diciembre,viernes,12:00 a 14:59,Choque con otro vehículo,Exceso de velocidad,Conductor,Bicicleta,Engativá,(29 a 59) Adultez
0,2015,1,Hombre,diciembre,jueves,18:00 a 20:59,Caída del vehículo a un precipicio,Sin información,Conductor,Bicicleta,Sin localidad específica,(Más de 60) Adulto Mayor
0,2015,1,Hombre,mayo,jueves,06:00 a 08:59,Choque con otro vehículo,Exceso de velocidad,Conductor,Bicicleta,Sin localidad específica,(29 a 59) Adultez
0,2015,1,Hombre,noviembre,martes,18:00 a 20:59,Choque con otro vehículo,Desobedecer señales de tránsito,Conductor,Bicicleta,Sin localidad específica,(Más de 60) Adulto Mayor
19,2015,1,Hombre,diciembre,jueves,15:00 a 17:59,Choque con otro vehículo,Desobedecer señales de tránsito,Conductor,Bicicleta,Ciudad Bolívar,(29 a 59) Adultez
